City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lubango,-14.9172,13.4925,58.32,59,10,2.15,AO,1661731107
Guéret,46.1667,1.8667,59.76,74,54,3.33,FR,1661731352
Ranong,9.9658,98.6348,78.66,88,100,1.92,TH,1661731352
Mataura,-46.1927,168.8643,46.47,59,3,1.9,NZ,1661731345
Pevek,69.7008,170.3133,41.95,74,7,4.0,RU,1661731353
Mount Gambier,-37.8333,140.7667,59.32,63,28,11.43,AU,1661731264
Tasiilaq,65.6145,-37.6368,44.76,95,100,23.6,GL,1661731354
Port Alfred,-33.5906,26.891,59.2,77,37,15.61,ZA,1661731354
Severo-Kuril'sk,50.6789,156.125,60.6,94,97,18.61,RU,1661731355
Rikitea,-23.1203,-134.9692,72.23,82,100,25.93,PF,1661731355
Praia da Vitória,38.7333,-27.0667,69.76,82,98,10.63,PT,1661731355
Cherskiy,68.75,161.3,61.75,56,98,11.77,RU,1661731356
Bredasdorp,-34.5322,20.0403,46.8,88,2,8.32,ZA,1661731356
Mahébourg,-20.4081,57.7,69.26,84,40,12.19,MU,1661731121
Jamestown,42.097,-79.2353,78.44,67,0,5.75,US,1661731357
Vao,-22.6667,167.4833,68.95,69,96,22.06,NC,1661731357
Port Elizabeth,-33.918,25.5701,54.1,82,66,5.01,ZA,1661731357
Vaitape,-16.5167,-151.75,77.77,74,14,8.55,PF,1661731358
Arraial do Cabo,-22.9661,-42.0278,70.74,85,0,6.08,BR,1661731358
Kapaa,22.0752,-159.319,82.09,71,4,5.01,US,1661731359
Baruun-Urt,46.6806,113.2792,55.47,62,93,1.74,MN,1661731359
Bluff,-46.6,168.3333,46.8,71,8,4.18,NZ,1661731275
Ushuaia,-54.8,-68.3,38.41,99,100,5.64,AR,1661731258
Nanortalik,60.1432,-45.2371,40.98,93,100,5.66,GL,1661731360
Hvolsvollur,63.7533,-20.2243,48.11,81,100,5.55,IS,1661731360
Busselton,-33.65,115.3333,50.74,67,100,4.81,AU,1661731342
São João da Barra,-21.6403,-41.0511,71.74,87,10,17.81,BR,1661731361
Atakpamé,7.5333,1.1333,68.25,97,74,4.36,TG,1661731361
